title,genre,rating,comment
리그 오브 레전드,AOS,8,국내 PC방 점유율 1위의 위엄
발로란트,FPS,6,경쟁전 중심의 전술 FPS
메이플스토리,MMORPG,9,오랜 기간 사랑받는 국민 게임
FC 온라인,Sports,4,축구 팬들에게 꾸준한 인기
아이온2,MMORPG,7,출시 기대감이 높은 신작
플레이어언노운스 배틀그라운드,FPS,5,배틀로얄 장르의 대표작
서든어택,FPS,3,여전히 PC방에서 강세
로스트아크,MMORPG,9,완성도 높은 레이드 콘텐츠
던전앤파이터,Action RPG,8,타격감이 뛰어난 액션 RPG
오버워치 2,FPS,6,팀플레이 중심의 히어로 슈터
로블록스,Adventure,5,창작과 놀이가 결합된 플랫폼
메이플스토리 월드,Other,4,유저 제작 콘텐츠 중심
스타크래프트,RTS,10,전략 게임의 전설
마비노기 모바일,MMORPG,2,캐주얼한 감성의 모바일 MMO
디아블로 4,Action RPG,7,어두운 분위기의 핵앤슬래시
이터널 리턴,Strategy Shooter,5,독특한 장르 결합 게임
리니지,MMORPG,6,국내 MMO의 상징적인 작품
카운터 스트라이크 2,FPS,9,정통 FPS의 진화
월드 오브 워크래프트,MMORPG,4,스토리 중심의 대형 MMO
사이퍼즈,AOS,3,개성 강한 캐릭터 전투
테일즈런너,Racing,2,가볍게 즐기는 캐주얼 레이싱
패스 오브 엑자일 2,MMORPG,8,깊이 있는 빌드 시스템
아이온,MMORPG,5,공중 전투가 특징인 MMO
워크래프트 3,RTS,7,RTS 장르의 교과서
엘소드,Action RPG,3,횡스크롤 액션의 재미
디아블로 2,Action RPG,10,지금도 회자되는 명작
천하제일상 거상,MMORPG,1,경제 시스템이 독특한 게임
검은사막,MMORPG,8,그래픽과 액션이 강점
명조: 워더링 웨이브,Action RPG,6,신작 액션 RPG로 주목
리니지 2,MMORPG,4,클래식한 MMO 감성
스페셜포스,FPS,2,옛 향수를 자극하는 FPS
크레이지 아케이드 비엔비,Action,6,남녀노소 즐기는 캐주얼 게임
스타크래프트 2: 자유의 날개,RTS,7,정통 RTS의 계승작
마인크래프트,Adventure,10,무한한 자유도의 샌드박스
GTA 5,Action,9,방대한 오픈월드의 대표작
아크 레이더스,Shooting,4,차세대 슈터로 기대
도타 2,AOS,7,하드코어 MOBA의 대표
팰월드,Action RPG,5,독특한 콘셉트로 화제
연운,MMORPG,3,정보 공개 단계의 신작
뱀피르,MMORPG,2,세계관이 특징적인 MMO
로드나인,MMORPG,4,국내 시장 공략형 MMORPG
블레이드앤소울,MMORPG,6,동양풍 액션이 강점
원신,Action Adventure,8,모바일과 PC 모두 인기
디아블로 3,Action RPG,7,시즌제 플레이의 재미
세븐나이츠 리버스,RPG,5,스토리 중심 RPG
리니지M,MMORPG,8,모바일 MMO의 대표작
파이널 판타지 14,MMORPG,9,스토리 평가가 매우 높음
카운터 스트라이크 온라인,FPS,6,국내 서비스 특화 FPS
아키텍트: 랜드 오브 엑자일,MMORPG,5,신규 IP로 주목
브라운더스트2,SRPG,3,전략적 전투가 중심